index,M,T,r,q,sig,bsPrice
GBM-0,1.16619,1.4908,0.0230093,0.00993456,0.352398,24.4975
GBM-1,0.889866,2.87373,0.0229612,0.0281604,0.236116,9.99751
GBM-2,0.896809,2.06191,0.02022,0.0112519,0.350603,16.0343
GBM-3,0.880911,2.00662,0.0161555,0.0232195,0.200729,5.76843
GBM-4,1.02382,1.34519,0.027063,0.026351,0.364404,17.1525
GBM-5,1.06034,2.70447,0.0123798,0.0261068,0.459051,28.1204
GBM-6,1.04512,0.902101,0.0136145,0.0136913,0.186081,9.14391
GBM-7,0.983348,2.50598,0.0226939,0.00859431,0.417618,26.0254
GBM-8,0.854619,2.90259,0.0211658,0.00468261,0.208764,9.71491
GBM-9,1.05767,2.0532,0.0228722,0.00559877,0.327621,22.1929
GBM-10,1.13556,1.416,0.0113387,0.0289792,0.0931306,10.2944
GBM-11,1.152,0.460255,0.0201585,0.0209022,0.0970277,13.0734
GBM-12,0.97299,1.8207,0.0172823,0.0214159,0.449822,21.6722
GBM-13,1.1644,0.939929,0.0177577,0.0047996,0.452311,24.601
GBM-14,1.15242,2.08507,0.0187249,0.0280355,0.228899,17.886
GBM-15,1.07853,0.800997,0.0100328,0.0169793,0.205293,10.8121
GBM-16,0.808397,2.47708,0.0200295,0.00883234,0.126893,2.04493
GBM-17,1.14993,1.10133,0.0268108,0.0284795,0.135665,13.6183
GBM-18,0.997742,1.83492,0.0128652,0.0235009,0.496131,24.4404
GBM-19,0.995955,1.61514,0.013885,0.0227804,0.208982,9.40612
GBM-20,1.12786,2.9348,0.0150483,0.00974951,0.0511282,12.5535
GBM-21,0.855063,1.82169,0.0280446,0.0223975,0.427008,16.6548
GBM-22,1.13386,0.394873,0.0245046,0.028962,0.276217,13.765
GBM-23,1.18493,2.85328,0.0288664,0.0115965,0.390965,33.2637
GBM-24,1.07293,2.68582,0.020237,0.019063,0.387958,26.3749
GBM-25,0.948244,2.59032,0.0252339,0.0232403,0.0503804,1.33631
GBM-26,0.883243,2.02229,0.0147199,0.00987737,0.335438,14.2091
GBM-27,1.1165,1.50783,0.0137995,0.0265381,0.276658,17.0108
GBM-28,0.969603,0.822201,0.0290763,0.021841,0.074383,1.61699
GBM-29,1.07059,1.97865,0.0180544,0.0157085,0.230281,15.7405
GBM-30,0.920128,1.4529,0.0106418,0.0110723,0.0794897,1.03221
GBM-31,0.962705,1.3287,0.0158588,0.0141725,0.465356,19.3883
GBM-32,0.836193,2.26363,0.0120299,0.0237046,0.092527,0.452791
GBM-33,0.935052,1.63898,0.0288471,0.00405778,0.186312,8.28065
GBM-34,0.839401,1.58543,0.0206295,0.014495,0.317024,9.467
GBM-35,0.816877,0.428719,0.0218365,0.0229294,0.415396,3.91987
GBM-36,0.846871,1.23885,0.0154703,4.46821e-05,0.0645833,0.0579412
GBM-37,1.0677,2.86482,0.0237491,0.000775371,0.224913,21.0963
GBM-38,1.11745,1.29516,0.0135035,0.0056064,0.450405,25.1189
GBM-39,1.07343,2.19282,0.0271672,0.0130752,0.12982,12.7473
GBM-40,0.868196,1.25528,0.0191294,0.0267431,0.214126,4.00848
GBM-41,1.16692,0.372143,0.0143058,0.0124285,0.449261,18.7755
GBM-42,1.17766,0.553299,0.0192581,0.0024184,0.440013,21.4869
GBM-43,1.0256,0.0838285,0.0264632,0.0247617,0.196363,3.70658
GBM-44,0.992093,0.744015,0.0169302,0.0233447,0.258992,8.18208
GBM-45,1.04558,1.83776,0.0107504,0.0184738,0.327216,18.1974
GBM-46,1.07872,0.631766,0.0229479,0.023659,0.298487,12.9851
GBM-47,1.08737,1.18109,0.0156301,0.00775085,0.178391,12.538
GBM-48,0.901617,2.10975,0.0267373,0.00554193,0.39931,20.3572
GBM-49,0.937261,1.07343,0.0158264,0.00588078,0.323428,11.002
GBM-50,0.888807,1.32909,0.0204114,0.00613784,0.329664,11.0928
GBM-51,0.854473,2.478,0.0234731,0.00438931,0.0669792,0.844405
GBM-52,0.861168,0.361681,0.0204434,0.00409972,0.410155,4.57722
GBM-53,0.957158,1.10201,0.0225441,0.0121052,0.381122,14.3342
GBM-54,0.808913,1.54595,0.0108444,0.0170462,0.42027,12.4276
GBM-55,0.874844,2.22217,0.0207682,0.00180932,0.338254,16.334
GBM-56,1.19287,1.60677,0.0143151,0.00648238,0.34103,25.4241
GBM-57,1.06625,0.464944,0.0262239,0.0220529,0.393267,13.6913
GBM-58,1.05826,1.32753,0.0256681,0.0211907,0.378459,19.3847
GBM-59,1.03806,2.4041,0.0122404,0.0213865,0.247747,15.0931
GBM-60,1.05114,1.01569,0.0178083,0.0205287,0.437935,19.0589
GBM-61,1.1812,0.404472,0.0214774,0.000295722,0.352937,18.611
GBM-62,0.950069,1.53723,0.0127497,0.0204433,0.0604192,0.83599
GBM-63,0.858123,0.537248,0.0184866,0.0226617,0.436563,6.87039
GBM-64,1.08007,2.65575,0.0259724,0.0113858,0.35867,26.7897
GBM-65,0.987654,2.22089,0.01654,0.0256161,0.0529528,1.71214
GBM-66,0.91375,1.45178,0.0249499,0.00391752,0.376247,15.4779
GBM-67,1.18995,2.25762,0.0181889,0.0151339,0.283448,24.2443
GBM-68,0.815483,1.66587,0.0256552,0.026554,0.242906,5.084
GBM-69,1.13166,2.07842,0.0119601,0.00499191,0.336332,24.821
GBM-70,0.87228,0.0357375,0.0108305,0.0280447,0.312009,0.0213306
GBM-71,1.09825,1.77219,0.0140527,0.0204342,0.465578,26.5492
GBM-72,0.954251,0.78672,0.0283134,0.0206708,0.271011,7.69656
GBM-73,1.00894,2.97997,0.0223834,0.0107375,0.27466,19.9019
GBM-74,1.11997,1.14953,0.0141784,0.010782,0.238993,15.9454
GBM-75,1.0752,1.08405,0.0275259,0.025869,0.364554,17.8595
GBM-76,0.899619,2.25004,0.027007,0.0255283,0.40152,18.7899
GBM-77,1.15993,0.803034,0.0186767,0.0148852,0.138279,14.491
GBM-78,0.844359,2.5405,0.016316,0.020477,0.441957,20.2522
GBM-79,0.862056,1.3545,0.0112637,0.0296297,0.292308,6.89486
GBM-80,1.17769,1.557,0.0109454,0.014426,0.476397,29.0525
GBM-81,0.986633,2.59761,0.022935,0.0266979,0.0620876,2.77137
GBM-82,0.983891,1.94504,0.0274368,0.000477909,0.383211,22.4985
GBM-83,0.818477,1.02668,0.0105662,0.0229409,0.173446,1.04227
GBM-84,1.03154,1.65052,0.022998,0.0250618,0.265563,14.1687
GBM-85,0.808172,1.13301,0.0212121,0.00303095,0.0678223,0.0094101
GBM-86,1.05778,0.96211,0.0263255,0.00461812,0.151488,10.1143
GBM-87,0.981977,0.672141,0.0129118,0.0282093,0.398212,11.5387
GBM-88,0.930852,0.268709,0.0293168,0.026793,0.187903,1.36244
GBM-89,1.00926,1.53494,0.0158447,0.0181079,0.334018,16.1771
GBM-90,1.10963,0.100176,0.0205783,0.0138534,0.110416,9.92835
GBM-91,0.98152,2.9947,0.0155176,0.0214563,0.295068,17.5561
GBM-92,0.809885,1.00618,0.0110616,0.00405214,0.114302,0.19069
GBM-93,1.04477,2.36882,0.0140462,0.00560359,0.193352,14.6182
GBM-94,0.810273,1.95287,0.0259845,0.0165747,0.370477,13.0698
GBM-95,0.978517,2.57525,0.0146148,0.00032862,0.0968653,6.9198
GBM-96,0.946812,2.06833,0.0196762,0.0120892,0.386029,19.8655
GBM-97,0.929058,2.0646,0.0210689,0.022985,0.48424,23.3094
GBM-98,0.954995,1.4626,0.0192408,0.0154285,0.30962,12.8863
GBM-99,1.00672,2.46734,0.0279926,0.00159674,0.294879,21.2697
